staTo -StaFrm	DD	MM	SS	DD	MM	SS	S		DD	MM	SS	DD	MM	SS
PRET-HNUS	-34	25	28.6671	19	13	23.0264	1299279.84551	224	33	51.1	39	59	18.08
PRET-TDOU	-23	4	47.67	30	23	2.43	362919.495145	36	24	11.83	215	32	3.96
PRET-RBAY	-28	47	43.96	32	4	42.19	506395.936225	131	12	13.94	312	56	31.6
PRET-ULDI	-28	17	15.33	31	25	15.33	420902.863957	131	33	12.65	312	58	42.35
HNUS-PRET	-25	43	55.2935	28	16	57.4873	1299279.84551	44	33	51.1	219	59	18.08
HNUS-TDOU	-23	4	47.67	30	23	2.43	1661651.44576	43	46	43.55	218	20	27.2
HNUS-RBAY	-28	47	43.96	32	4	42.19	1368704.36284	66	24	19.24	239	36	52.05
HNUS-ULDI	-28	17	15.33	31	25	15.33	1343841.95095	62	55	17.72	236	31	33.54
TDOU-PRET	-25	43	55.2935	28	16	57.4873	362919.495145	216	24	11.83	35	32	3.96
TDOU-HNUS	-34	25	28.6671	19	13	23.0264	1661651.44576	223	46	43.55	38	20	27.2
TDOU-RBAY	-28	47	43.96	32	4	42.19	655542.324593	164	37	8.28	345	21	28.25
TDOU-ULDI	-28	17	15.33	31	25	15.33	586230.264771	169	32	42.22	349	59	34.09
RBAY-PRET	-25	43	55.2935	28	16	57.4873	506395.936225	311	12	13.94	132	56	31.6
RBAY-HNUS	-34	25	28.6671	19	13	23.0264	1368704.36284	246	24	19.24	59	36	52.05
RBAY-TDOU	-23	4	47.67	30	23	2.43	655542.324593	344	37	8.28	165	21	28.25
RBAY-ULDI	-28	17	15.33	31	25	15.33	85493.4681176	311	1	34.22	131	20	25.08
ULDI-PRET	-25	43	55.2935	28	16	57.4873	420902.863957	311	33	12.65	132	58	42.35
ULDI-HNUS	-34	25	28.6671	19	13	23.0264	1343841.95095	242	55	17.72	56	31	33.54
ULDI-TDOU	-23	4	47.67	30	23	2.43	586230.264771	349	32	42.22	169	59	34.09
ULDI-RBAY	-28	47	43.96	32	4	42.19	85493.4681176	131	1	34.22	311	20	25.08
